agent_id,time,agent_type,origin_1,destination_1,waiting_time_1,destination_2,waiting_time_2
6986,8:08:18,81222202,NU0190,ND0013,72,ND0018,72
7096,8:08:18,G1961022,NU0190,ND0011,72,ND0018,72
1215,8:08:20,72221201,NU0190,ND0023,0,None,0
1113,8:08:22,B1261021,NU0190,ND0021,0,None,0
877,8:08:24,71271211,NU0190,ND0019,0,None,0
3749,8:08:24,A1321201,NU0253,ND0016,0,None,0
6977,8:08:24,A2121202,NU0190,ND0011,72,ND0018,72
8320,8:08:24,B1221202,NU0253,ND0007,72,ND0027,72
7634,8:08:27,61221202,NF0159,ND0009,72,ND0021,72
1260,8:08:30,71228201,NU0190,ND0024,0,None,0
4327,8:08:32,71231201,NU0253,ND0022,0,None,0
9258,8:08:35,81137202,NU0091,ND0021,72,ND0020,72
702,8:08:36,62231201,NU0190,ND0017,0,None,0
5035,8:08:37,A2861021,NF0177,ND0001,0,None,0
6921,8:08:39,71221202,NU0190,ND0001,72,ND0010,72
6541,8:08:40,B2322201,NU0100,ND0019,0,None,0
1782,8:08:43,A1221201,NF0159,ND0001,0,None,0
7065,8:08:44,72221202,NU0190,ND0003,72,ND0015,72
5588,8:08:45,71221201,NF0177,ND0022,0,None,0
6956,8:08:45,51221202,NU0190,ND0017,72,ND0017,72
2791,8:08:47,G1967021,NF0159,ND0025,0,None,0
8398,8:08:47,B28B1012,NU0253,ND0012,72,ND0026,72
5117,8:08:49,81221201,NF0177,ND0005,0,None,0
6983,8:08:49,52222202,NU0190,ND0004,72,ND0008,72
6799,8:08:50,51421201,NF0077,ND0022,0,None,0
1871,8:08:51,91222201,NF0159,ND0003,0,None,0
6466,8:08:51,A2121201,NU0100,ND0014,0,None,0
2718,8:08:52,61228201,NF0159,ND0024,0,None,0
7000,8:08:53,71522202,NU0190,ND0011,72,ND0012,72
8379,8:08:53,A2233202,NU0253,ND0007,72,ND0001,72
150,8:08:54,71221201,NU0190,ND0005,0,None,0
6826,8:08:56,B1222201,NF0077,ND0025,0,None,0
8374,8:09:04,82221202,NU0253,ND0025,72,ND0015,72
3351,8:09:05,81228201,NU0253,ND0007,0,None,0
